person,scraping_total,scraping_valid_headline,scraping_valid_webPublicationDate,scraping_valid_bodyText,vector_headlines_count,vector_chunking_count
alex_morgan,5833,5833,5833,5829,11666,5829
alicia_keys,2545,2545,2545,2544,5090,2544
andres_manuel_lopez,3247,3247,3247,3244,6494,3244
ann_mckee,2467,2467,2467,2466,4934,2466
ashley_graham,5074,5074,5074,5068,10148,5068
barbara_lynch,3256,3256,3256,3256,6512,3256
barbara_rae_venter,2635,2635,2635,2635,5270,2635
barry_jenkins,6003,6003,6003,5999,12006,5999
benjamin_netanyahu,3248,3248,3248,3247,6496,3247
bernard_tyson,2715,2715,2715,2711,5430,2711
bob_bland,3109,3109,3109,3107,6218,3107
bob_ferguson,3924,3924,3924,3922,7848,3922
carl_june,2318,2318,2318,2310,4636,2310
chance_the_rapper,2793,2793,2793,2790,5586,2790
chip_gaines,3115,3115,3115,3115,6230,3115
chloe_kim,5801,5801,5801,5800,11602,5800
christine_blasey_ford,5057,5057,5057,5055,10114,5055
christopher_wylie,6043,6043,6043,6043,12086,6043
chuck_schumer,2254,2254,2254,2254,4508,2254
cindy_holland,2431,2431,2431,2431,4862,2431
colin_kaepernick,3327,3327,3327,3326,6654,3326
david_hogg,2274,2274,2274,2043,4548,2043
donald_trump,26542,26542,26542,26516,53084,26516
elizabeth_diller,5454,5454,5454,5453,10908,5453
elizabeth_warren,8476,8476,8476,8474,16952,8474
emilia_clarke,3857,3857,3857,3856,7714,3856
emily_comer,3693,3693,3693,3693,7386,3693
emma_gonzalez,5232,5232,5232,5232,10464,5232
emma_stone,5045,5045,5045,5044,10090,5044
emmanuel_macron,3864,3864,3864,3863,7728,3863
gavin_grimm,2417,2417,2417,2417,4834,2417
glenda_gray,2278,2278,2278,2277,4556,2277
glenn_close,2646,2646,2646,2644,5292,2644
guillermo_del_toro,2966,2966,2966,2965,5932,2965
he_jiankui,2509,2509,2509,2504,5018,2504
imran_khan,4470,4470,4470,4470,8940,4470
indya_moore,4346,4346,4346,4346,8692,4346
ivanka_trump,8137,8137,8137,8119,16274,8119
jane_goodall,5113,5113,5113,5112,10226,5112
janet_mock,3141,3141,3141,3141,6282,3141
jason_blum,5277,5277,5277,5276,10554,5276
jay_oneal,3077,3077,3077,3077,6154,3077
jean_liu,6101,6101,6101,6100,12202,6100
jeanne_gang,4582,4582,4582,4581,9164,4581
jeff_bezos,4935,4935,4935,4933,9870,4933
jeff_sessions,8688,8688,8688,8686,17376,8686
jennifer_hyman,3198,3198,3198,3197,6396,3197
jennifer_lopez,3790,3790,3790,3788,7580,3788
jerome_powell,2436,2436,2436,2436,4872,2436
jesmyn_ward,3750,3750,3750,3750,7500,3750
jian_wei_pan,3397,3397,3397,3397,6794,3397
jimmy_kimmel,3652,3652,3652,3650,7304,3650
john_legend,5283,5283,5283,5281,10566,5281
john_lewis,4676,4676,4676,4675,9352,4675
jordan_peele,5471,5471,5471,5471,10942,5471
jose_andres,2788,2788,2788,2786,5576,2786
jr_artist,3592,3592,3592,3592,7184,3592
juan_guaido,2654,2654,2654,2652,5308,2652
juan_manuel_santos,5052,5052,5052,5050,10104,5050
judy_chicago,4165,4165,4165,4164,8330,4164
julian_assange,4010,4010,4010,4010,8020,4010
justin_trudeau,4983,4983,4983,4983,9966,4983
kerry_james_marshall,3634,3634,3634,3629,7268,3629
kim_jong_un,6121,6121,6121,6121,12242,6121
mahershala_ali,4835,4835,4835,4835,9670,4835
margaret_atwood,5393,5393,5393,5393,10786,5393
margot_robbie,2375,2375,2375,2375,4750,2375
maria_ressa,3333,3333,3333,3332,6666,3332
mauricio_macri,2261,2261,2261,2261,4522,2261
maxine_waters,5048,5048,5048,5047,10096,5047
michelle_obama,3271,3271,3271,3266,6542,3266
millie_bobby_brown,2342,2342,2342,2341,4684,2341
mirian_g,4096,4096,4096,4094,8192,4094
mohamed_bin_zayed,5971,5971,5971,5971,11942,5971
mohamed_salah,2668,2668,2668,2666,5336,2666
mohammed_bin_salman,5596,5596,5596,5596,11192,5596
moon_jae_in,4382,4382,4382,4308,8764,4308
nancy_pelosi,2392,2392,2392,2392,4784,2392
pat_mcgrath,3367,3367,3367,3366,6734,3366
pope_francis,4647,4647,4647,4646,9294,4646
prince_harry,6213,6213,6213,6205,12426,6205
robert_mueller,2975,2975,2975,2974,5950,2974
roger_federer,4373,4373,4373,4370,8746,4370
ruth_davidson,3696,3696,3696,3696,7392,3696
ryan_coogler,7442,7442,7442,7441,14884,7441
ryan_murphy,10453,10453,10453,10452,20906,10452
ryan_reynolds,8467,8467,8467,8466,16934,8466
sadiq_khan,4420,4420,4420,4420,8840,4420
samantha_bee,2267,2267,2267,2264,4534,2264
sandra_day_oconnor,3693,3693,3693,3663,7386,3663
sean_hannity,5332,5332,5332,5331,10664,5331
spike_lee,2341,2341,2341,2341,4682,2341
sterling_brown,4013,4013,4013,4010,8026,4010
taylor_swift,3768,3768,3768,3762,7536,3762
theresa_may,22188,22188,22188,22164,44376,22164
tiger_woods,4413,4413,4413,4411,8826,4411
trevor_noah,3191,3191,3191,3190,6382,3190
viola_davis,6075,6075,6075,6072,12150,6072
vladimir_putin,4958,4958,4958,4956,9916,4956
xi_jinping,4048,4048,4048,4039,8096,4039
